distancePixel,angle,aspRatio,normalized_BBsize,relative_height,horizontal_offset,vertical_offset,log_distPix,distanceReal
66.8087,121.907,1.07407,0.00430115,30.375,-0.0735645,0.118155,4.21669,0.35
51.0769,265.645,1.17197,0.00440796,29.4375,-0.00808018,-0.106103,3.95272,0.28
56.2848,273.306,1.03448,0.00477905,32.625,0.00676151,-0.117065,4.04804,0.34
73.4425,270.642,1.00592,0.00438385,31.6875,0.00171364,-0.152996,4.31003,0.47
84.0313,269.928,1.00629,0.00388184,29.8125,-0.000221181,-0.175065,4.44302,0.56
93.2186,269.834,1.00654,0.00359528,28.6875,-0.00056422,-0.194205,4.54562,0.64
105.51,270.749,1.00671,0.00341034,27.9375,0.00287461,-0.219793,4.66824,0.78
113.516,271.639,1.04965,0.0031842,26.4375,0.00676413,-0.236395,4.74071,0.86
122.297,269.073,0.971014,0.00282166,25.875,-0.00412125,-0.254752,4.8146,0.98
132.598,269.504,0.943026,0.00233002,23.8594,-0.00238919,-0.276235,4.89483,1.13
139.77,266.047,0.935484,0.00219482,23.25,-0.0200715,-0.290496,4.94713,1.25
144.568,266.566,0.965517,0.00198242,21.75,-0.0180409,-0.300642,4.98064,1.33
153.978,267.073,0.953271,0.00166534,20.0625,-0.016379,-0.320369,5.04328,1.53
148.746,266.913,1.00917,0.00182953,20.4375,-0.0166901,-0.309437,5.00894,1.40
157.419,267.326,0.953271,0.00166534,20.0625,-0.0152998,-0.3276,5.06525,1.62
159.3,266.963,0.96,0.00146484,18.75,-0.0175833,-0.331408,5.07705,1.65
163.387,267.276,0.973545,0.0013266,17.7188,-0.016179,-0.340005,5.10222,1.76
166.743,267.084,0.942408,0.00131149,17.9062,-0.0176694,-0.346932,5.12244,1.87
169.341,267.304,0.951351,0.00124207,17.3438,-0.0165968,-0.352403,5.1378,1.96
172.114,267.636,0.937143,0.00109482,16.4062,-0.0147892,-0.358266,5.15395,2.05
175.422,267.446,0.949153,0.00113434,16.5938,-0.0162861,-0.3651,5.17288,2.18
180.043,269.332,0.92261,0.000955276,15.4453,-0.00436983,-0.375064,5.19873,2.36
183.471,269.175,0.919255,0.000908966,15.0938,-0.00550277,-0.382193,5.21749,2.51
185.769,269.184,0.957929,0.000872269,14.4844,-0.00551417,-0.386978,5.22987,2.63
188.906,269.251,0.933333,0.000801086,14.0625,-0.00514693,-0.393521,5.24653,2.82
190.873,269.311,0.979021,0.000763702,13.4062,-0.00478002,-0.397622,5.25683,2.90
193.835,269.106,0.941176,0.000664063,12.75,-0.00630307,-0.403774,5.27215,3.10
194.981,269.164,0.958801,0.000651855,12.5156,-0.00592945,-0.406167,5.27802,3.18
196.455,269.223,0.944649,0.000661621,12.7031,-0.0055497,-0.409243,5.28551,3.29
197.4,269.067,0.923077,0.000595093,12.1875,-0.00669433,-0.411196,5.29029,3.35
199.386,269.18,0.956175,0.000574493,11.7656,-0.00594436,-0.415346,5.30025,3.50
201.147,269.135,0.943089,0.000544281,11.5312,-0.00632896,-0.419009,5.309,3.63
202.652,269.036,0.957265,0.000499878,10.9688,-0.00709947,-0.422133,5.31642,3.78
204.056,269.094,0.931034,0.000477905,10.875,-0.00672189,-0.425065,5.32329,3.95
207.437,269.005,1.00483,0.000410614,9.70312,-0.00750669,-0.432096,5.33964,4.25
207.923,269.107,0.995025,0.000383377,9.42188,-0.0067481,-0.43312,5.34196,4.31
208.746,269.061,0.985222,0.000387192,9.51562,-0.00712914,-0.43483,5.3459,4.42
211.93,269.818,1.01734,0.000290375,8.10938,-0.0014054,-0.441518,5.36096,4.86
213.394,272.736,0.988235,0.000272369,7.96875,0.0212182,-0.444064,5.36782,5.00
184.453,269.234,0.930533,0.000850067,14.5078,-0.00513651,-0.384244,5.2228,2.55
167.444,265.81,1.7631,0.0416833,73.8047,-0.0254872,-0.34791,5.12661,0.30
